       Z A ab        |   abs_cyburt_sens    |   rel_cyburt_sens    | 
     112 48 pg       | 8.203196490100054e+37 |  7.540966856210955   | 
      54 24 pg       | 8.201918916752005e+37 |  7.539792419113703   | 
     110 51 pg       | 8.199454183737912e+37 |  7.537526659663577   | 
      72 32 pa       | 8.19819959121262e+37 |  7.536373348187655   | 
     109 51 pa       | 8.194053961906586e+37 |  7.532562388248725   | 
     102 49 pg       | 8.193192421059474e+37 |   7.53177039807987   | 
     120 50 pg       | 8.1837463215888e+37  |  7.523086865616057   | 
      24 14 ap       | 8.180944230916904e+37 |  7.520510982798869   | 
      37 22 gp       | 8.165830845581528e+37 |  7.506617674496823   | 
      76 37 pa       | 8.124349986169234e+37 |  7.468485491953987   | 
      98 47 pg       | 8.121469949587307e+37 |  7.465837955663079   | 
      29 13 pa       | 8.119920513540912e+37 |  7.464413602865266   | 
      67 32 pg       | 8.116940946232104e+37 |  7.461674570788114   | 
     102 48 pg       | 8.114361162508369e+37 |   7.45930304846991   | 
     121 51 pg       | 8.108575023794303e+37 |  7.453984014563936   | 
      43 21 ap       | 8.103632887965017e+37 |  7.449440848673357   | 
      74 33 pg       | 8.098255025794017e+37 |  7.444497131862755   | 
      87 42 pg       | 8.096138869450594e+37 |  7.442551809101369   | 
      48 23 ag       | 8.095028667584137e+37 |  7.441531231880189   | 
      87 41 pg       | 8.090090693961951e+37 |  7.436991892189047   | 
      56 27 ap       | 8.080363288506993e+37 |   7.42804976307861   | 
      19 10 ag       | 8.076268746119802e+37 |   7.42428576590136   | 
      48 22 pg       | 8.066954869359148e+37 |  7.415723782040595   | 
      41 23 gp       | 8.060857560886127e+37 |  7.410118698563363   | 
      56 27 ag       | 8.060077869681737e+37 |   7.40940195045944   | 
      52 28 ap       | 8.056946600757087e+37 |  7.406523463371246   | 
      54 26 pg       | 8.016361881345552e+37 |  7.369215077022052   | 
      45 24 pg       | 8.01213740690986e+37 |  7.365331636982196   | 
      51 25 pg       | 7.998779800017952e+37 |  7.3530523662160086  | 
      39 22 ap       | 7.993084818993175e+37 |  7.347817130999295   | 
     104 50 ga       | 7.980449921128936e+37 |  7.336202226231279   | 
      56 29 pg       | 7.956544993338719e+37 |   7.31422710124388   | 
     109 48 pg       | 7.942137204549648e+37 |  7.300982427919184   | 
      31 17 pg       | 7.940190366346116e+37 |  7.299192754541866   | 
     116 48 pg       | 7.934832905415223e+37 |  7.294267792015115   | 
     110 49 pg       | 7.932199177361996e+37 |  7.291846680198322   | 
      57 26 pa       | 7.931903207633745e+37 |  7.291574603586008   | 
      57 31 gp       | 7.924979614820792e+37 |  7.285209940251247   | 
      97 45 pa       | 7.921239900988302e+37 |  7.281772126943159   | 
      16 8 pg        | 7.919006676236803e+37 |   7.27971918650051   | 
      51 26 pg       | 7.911025598730728e+37 |  7.272382407353162   | 
      74 34 pa       | 7.890965342497402e+37 |  7.253941580345645   | 
      34 19 pg       | 7.889888828363427e+37 |  7.252951971305516   | 
      25 13 ap       | 7.874745505430373e+37 |  7.239031142215433   | 
      57 27 pg       | 7.8745748125921125e+37 |  7.238874229109978   | 
      51 25 ap       | 7.870800566704395e+37 |  7.2354046714587845  | 
      72 35 pa       | 7.870532155021598e+37 |  7.235157928179353   | 
     101 49 pa       | 7.865762120980835e+37 |  7.230772970602413   | 
      79 35 pg       | 7.854943999091213e+37 |   7.22082817667793   | 
     105 50 ga       | 7.852460656160838e+37 |  7.218545309657353   | 
      26 12 pg       | 7.841396126765832e+37 |  7.2083740002722845  | 
     102 46 pg       | 7.841303824884532e+37 |  7.208289149759623   | 
      78 41 gp       | 7.838387702594428e+37 |  7.205608440896332   | 
      80 36 pg       | 7.83040992382228e+37 |  7.198274694181919   | 
      27 15 ag       | 7.829371688215435e+37 |  7.197320273510708   | 
      12 7 pg        | 7.815011699705841e+37 |  7.184119541632945   | 
      88 41 pg       | 7.807995930748262e+37 |  7.177670143371696   | 
      34 18 ag       | 7.788400075805829e+37 |  7.159656227355135   | 
     103 45 pg       |  7.770559545181e+37  |  7.143255931409352   | 
      61 30 pa       | 7.759641963401727e+37 |  7.133219706817289   | 
     118 52 pa       | 7.757102476774061e+37 |  7.130885228481419   | 
     111 51 pa       | 7.750063652055377e+37 |  7.124414635710134   | 
     100 49 pg       | 7.745206467625186e+37 |   7.11994956324152   | 
      36 18 ag       | 7.744607425473468e+37 |  7.119398880709774   | 
     105 49 pa       | 7.736233172077223e+37 |  7.111700666070785   | 
     110 46 pg       | 7.734626619423902e+37 |  7.110223807589329   | 
     106 48 pg       | 7.729977913518998e+37 |  7.105950383541098   | 
      17 10 ap       | 7.728813068398569e+37 |  7.104879574319793   | 
      77 39 gp       | 7.728623350928852e+37 |   7.10470517240794   | 
      82 41 pg       | 7.724042484391076e+37 |  7.100494111173972   | 
      75 35 pg       | 7.718948511703712e+37 |  7.095811365947983   | 
     118 52 pg       | 7.716335863297011e+37 |  7.093409632054904   | 
     111 50 pg       | 7.71422512721855e+37 |  7.091469291990016   | 
      87 43 pg       | 7.711407742114751e+37 |  7.0888793494335305  | 
     106 46 pa       | 7.705203658845115e+37 |  7.083176110901336   | 
     112 51 ga       | 7.701442061104515e+37 |  7.079718180334575   | 
      92 47 pg       | 7.700049501772398e+37 |  7.078438039869639   | 
