# version 2
# time, mass, jx, jy, jz, px, py, pz
1.751158343574032372e+01  1.062698343574032235e+34 -2.229344390611637649e+48  1.246283921187931685e+49  3.581761659084793517e+48 -1.394324383792812238e+41  4.952920491533736645e+40 -2.478976281429193738e+41
1.801822245442539483e+01  1.079162245442539516e+34 -2.516927746706418342e+48  1.211786441567295577e+49  3.832872765534708746e+48 -1.364648045708142135e+41  4.954196770395434848e+40 -2.482773929536369194e+41
1.852486147311046949e+01  1.095539999999999975e+34 -2.819507087355850244e+48  1.188763972047954704e+49  4.185415310239635919e+48 -1.340919864603725365e+41  4.963335935400794752e+40 -2.484256598503602342e+41
1.903150049179554060e+01  1.111750049179553914e+34 -3.213887556923865067e+48  1.181338611691842170e+49  4.541752076641158844e+48 -1.314563620642528717e+41  4.896811648580422530e+40 -2.489023831189126732e+41
1.956794180569738373e+01  1.128754180569738188e+34 -3.800408583569191881e+48  1.204823449038518695e+49  4.889836528372856526e+48 -1.285783784263455033e+41  4.820630285380351784e+40 -2.499250416354644726e+41
2.013418541481599533e+01  1.146518541481599628e+34 -4.612759365243285008e+48  1.242555882176409171e+49  5.323404887019996412e+48 -1.247099335784231115e+41  4.699338321333231460e+40 -2.513390097262655811e+41
2.070042902393460338e+01  1.164279999999999906e+34 -5.449681391048397204e+48  1.284799419114840919e+49  5.754617523949880507e+48 -1.223751192215506767e+41  4.611276230168147882e+40 -2.521404704556811129e+41
2.126667263305321498e+01  1.181867263305321485e+34 -6.198050718418117623e+48  1.332274583801207057e+49  5.991928175055002458e+48 -1.199070064615566631e+41  4.512302218337835989e+40 -2.521023914338214502e+41
2.189252083260536352e+01  1.201119999999999921e+34 -7.014507703565927903e+48  1.374159035170260510e+49  6.096984786211343051e+48 -1.167319514804795646e+41  4.438308908783825731e+40 -2.520006613663762470e+41
2.248856673694074360e+01  1.219306673694074377e+34 -7.596008854483102388e+48  1.418159301465035726e+49  6.265481681656315406e+48 -1.131044184779433182e+41  4.379591917697264965e+40 -2.518431245085608056e+41
2.314421723170966061e+01  1.239090000000000056e+34 -7.814160172668162492e+48  1.494226647311905479e+49  6.577359094309824356e+48 -1.095241727635299332e+41  4.273276000323265930e+40 -2.510820755771258424e+41
2.379986772647857762e+01  1.258580000000000073e+34 -7.842665419199593049e+48  1.611118145369147337e+49  6.771503283840889879e+48 -1.065227286978875165e+41  4.184199414497442218e+40 -2.505765242882572100e+41
2.445551822124749464e+01  1.277791822124749354e+34 -7.823974793709279358e+48  1.768450466266012620e+49  6.722647401924973600e+48 -1.046776313910186339e+41  4.118243156399616342e+40 -2.499817964065168930e+41
2.517077330644995214e+01  1.298409999999999943e+34 -7.830639549482387930e+48  1.961599694829377069e+49  6.560863634625571497e+48 -1.034377591425927964e+41  4.128419479458314207e+40 -2.485713835919513182e+41
2.588602839165240610e+01  1.318589999999999962e+34 -7.901053353757128595e+48  2.159075221819337196e+49  6.335701885423348543e+48 -1.019651001250344172e+41  4.100547378328786818e+40 -2.467459596836291415e+41
2.660128347685486361e+01  1.338430000000000046e+34 -7.931766173333892699e+48  2.356550845098796087e+49  6.032520933625037719e+48 -1.008294030864080717e+41  4.091397146663810526e+40 -2.454517637743342439e+41
2.737614315249085450e+01  1.359560000000000085e+34 -8.093943212761933149e+48  2.572170439596377855e+49  5.648033472688973463e+48 -9.937458608114634065e+40  4.060943614003129700e+40 -2.440471874917506013e+41
2.815100282812684895e+01  1.380349999999999958e+34 -8.505689979345637291e+48  2.774249313851633640e+49  5.271302156378862326e+48 -9.843885267942418141e+40  4.028809403675431531e+40 -2.437994817593786585e+41
2.892586250376284340e+01  1.400766250376284548e+34 -9.182946605034480080e+48  2.941985289927497392e+49  4.914367562762429294e+48 -9.775063662175429314e+40  3.967170370561395356e+40 -2.434786751953673334e+41
2.976032676983237479e+01  1.422372676983237503e+34 -1.010948145699592816e+49  3.111761522735065472e+49  4.505022697513512824e+48 -9.689578066883944774e+40  3.871611362335361132e+40 -2.419557836157029217e+41
3.056498874068513771e+01  1.442880000000000104e+34 -1.099730962222256586e+49  3.298811020790077139e+49  4.111721969805427972e+48 -9.632736246513272812e+40  3.773088872060225021e+40 -2.397739084804433024e+41
3.142925530197143758e+01  1.464470000000000066e+34 -1.190212037113484034e+49  3.513254998472260476e+49  3.716394808372530650e+48 -9.567527268494400157e+40  3.663137890697166110e+40 -2.359669702173307987e+41
3.232332415847450591e+01  1.486390000000000059e+34 -1.264387922149912149e+49  3.718478456821246050e+49  3.327434104076543823e+48 -9.467488749919128798e+40  3.549268519685938049e+40 -2.323060825634080351e+41
3.321739301497757424e+01  1.507740000000000041e+34 -1.316076208772154646e+49  3.900490983505886051e+49  2.964283077317401538e+48 -9.389108855351204195e+40  3.459623111278756464e+40 -2.292023304594266967e+41
3.417106646191417951e+01  1.529769999999999891e+34 -1.342492413850803757e+49  4.072449683326610385e+49  2.622578226390343230e+48 -9.337702560399413308e+40  3.393031826752094497e+40 -2.265887344367882537e+41
3.512473990885078479e+01  1.551010000000000016e+34 -1.335169342482084364e+49  4.208041851825316095e+49  2.290337431363474925e+48 -9.299072743419573550e+40  3.355141494694059271e+40 -2.243820956565063343e+41
3.613801794622093411e+01  1.572769999999999946e+34 -1.308546267663381306e+49  4.293433105012510657e+49  1.970269439368816435e+48 -9.247900581239504008e+40  3.311909600684763552e+40 -2.220588351312139588e+41
3.715129598359107632e+01  1.593829999999999970e+34 -1.267623939149433082e+49  4.367475461763978843e+49  1.708870434845415112e+48 -9.156511400901326481e+40  3.261788591603950504e+40 -2.204799965226977010e+41
3.822417861139476258e+01  1.615340000000000016e+34 -1.208103437096172505e+49  4.466579253914797834e+49  1.486691301350146527e+48 -9.161939158437264352e+40  3.209918733591879335e+40 -2.187089440522181257e+41
3.929706123919844174e+01  1.636099999999999950e+34 -1.130880645968880823e+49  4.559953434103892588e+49  1.310666427691630203e+48 -9.145370748708768913e+40  3.185599524901501078e+40 -2.164157443721192925e+41
4.042954845743566494e+01  1.657300000000000001e+34 -1.049988897903384046e+49  4.639804187102157371e+49  1.166990568058007189e+48 -9.098252683192504122e+40  3.154797738342045113e+40 -2.132468924543729404e+41
4.156203567567288815e+01  1.677860000000000028e+34 -9.874758274551223529e+48  4.693854492382718388e+49  1.092792987961741510e+48 -9.006529251923984008e+40  3.123110602631436198e+40 -2.096322301570508367e+41
4.269452289391011135e+01  1.697850000000000043e+34 -9.483402614680335174e+48  4.732381286841235330e+49  1.052271302045506970e+48 -8.910435474234867811e+40  3.051960344517341597e+40 -2.057612638001782260e+41
